event_type,time_to_recover,event_timing,team
tactical_shifts,6.499,before event,France
tactical_shifts,45.547,after event,Australia
tactical_shifts,173.794,after event,Australia
tactical_shifts,2.737,after event,Australia
tactical_shifts,83.888,after event,France
tactical_shifts,42.27,before event,France
tactical_shifts,251.923,before event,Australia
tactical_shifts,33.272,after event,France
tactical_shifts,42.913,after event,France
tactical_shifts,13.064,after event,France
tactical_shifts,3.5460000000000003,after event,France
tactical_shifts,134.454,after event,Australia
tactical_shifts,87.934,before event,France
tactical_shifts,167.148,before event,France
tactical_shifts,70.525,after event,France
tactical_shifts,91.398,after event,France
tactical_shifts,123.106,after event,France
tactical_shifts,34.615,before event,Tunisia
tactical_shifts,1.032,before event,Tunisia
tactical_shifts,40.398,before event,Tunisia
tactical_shifts,5.275,before event,Tunisia
tactical_shifts,9.884,before event,France
tactical_shifts,199.786,before event,Tunisia
tactical_shifts,9.896,after event,Tunisia
tactical_shifts,34.436,after event,Tunisia
tactical_shifts,4.101,after event,France
tactical_shifts,5.108,after event,France
tactical_shifts,187.128,after event,Tunisia
tactical_shifts,101.068,before event,Tunisia
tactical_shifts,20.672,before event,Tunisia
tactical_shifts,62.949,before event,Tunisia
tactical_shifts,125.579,before event,Tunisia
tactical_shifts,138.846,after event,Tunisia
tactical_shifts,299.167,after event,Tunisia
tactical_shifts,138.846,before event,Tunisia
tactical_shifts,299.167,before event,Tunisia
tactical_shifts,133.116,after event,Tunisia
tactical_shifts,6.364,before event,France
tactical_shifts,148.048,before event,France
tactical_shifts,1.286,before event,France
tactical_shifts,23.329,after event,Poland
tactical_shifts,102.41,after event,Poland
tactical_shifts,80.091,after event,Poland
tactical_shifts,66.135,after event,Poland
tactical_shifts,18.327,before event,Poland
tactical_shifts,46.833,before event,Poland
tactical_shifts,3.261,after event,France
tactical_shifts,99.911,after event,France
tactical_shifts,84.835,after event,France
tactical_shifts,139.776,after event,Poland
tactical_shifts,88.023,before event,England
tactical_shifts,5.34,before event,England
tactical_shifts,236.893,before event,England
tactical_shifts,1.354,after event,England
tactical_shifts,214.494,before event,France
tactical_shifts,72.578,after event,France
tactical_shifts,65.077,after event,Morocco
tactical_shifts,10.956,after event,Morocco
tactical_shifts,82.102,after event,France
tactical_shifts,42.638,after event,France
tactical_shifts,6.32,after event,France
tactical_shifts,87.936,after event,France
tactical_shifts,1.254,after event,France
tactical_shifts,152.259,after event,France
tactical_shifts,12.671,after event,France
tactical_shifts,4.912,after event,Morocco
tactical_shifts,34.609,before event,Morocco
tactical_shifts,35.394,before event,Morocco
tactical_shifts,120.823,before event,Morocco
tactical_shifts,80.577,before event,Morocco
tactical_shifts,113.94,after event,Morocco
tactical_shifts,6.247,after event,France
tactical_shifts,87.288,after event,Morocco
tactical_shifts,31.817,after event,France
tactical_shifts,7.913,after event,France
tactical_shifts,217.207,after event,Morocco
tactical_shifts,99.226,before event,Morocco
tactical_shifts,7.451,before event,Morocco
tactical_shifts,106.918,before event,Morocco
tactical_shifts,7.774,before event,Morocco
tactical_shifts,11.784,after event,France
tactical_shifts,17.815,after event,France
tactical_shifts,14.816,after event,Morocco
tactical_shifts,148.505,after event,Morocco
tactical_shifts,11.971,before event,France
tactical_shifts,8.102,before event,Argentina
tactical_shifts,76.814,before event,France
tactical_shifts,97.604,before event,Argentina
tactical_shifts,139.563,before event,France
tactical_shifts,45.645,after event,France
tactical_shifts,49.39,after event,France
tactical_shifts,145.7,after event,Argentina
tactical_shifts,107.476,before event,Argentina
tactical_shifts,109.417,before event,Argentina
tactical_shifts,16.378,after event,Argentina
tactical_shifts,92.541,after event,Argentina
tactical_shifts,2.614,after event,Argentina
tactical_shifts,140.436,after event,Argentina
tactical_shifts,18.454,after event,Argentina
tactical_shifts,15.307,after event,Argentina
tactical_shifts,18.454,before event,Argentina
tactical_shifts,15.307,before event,Argentina
tactical_shifts,233.272,before event,Argentina
tactical_shifts,1.675,after event,Argentina
tactical_shifts,67.145,after event,France
tactical_shifts,26.69,after event,France
tactical_shifts,4.732,after event,France
tactical_shifts,39.69,after event,France
tactical_shifts,18.486,after event,France
tactical_shifts,62.954,after event,France
tactical_shifts,30.983,after event,France
tactical_shifts,34.128,after event,France
tactical_shifts,233.272,before event,Argentina
tactical_shifts,1.675,before event,Argentina
tactical_shifts,67.145,before event,France
tactical_shifts,26.69,after event,France
tactical_shifts,4.732,after event,France
tactical_shifts,39.69,after event,France
tactical_shifts,18.486,after event,France
tactical_shifts,62.954,after event,France
tactical_shifts,30.983,after event,France
tactical_shifts,34.128,after event,France
tactical_shifts,11.789,before event,Argentina
tactical_shifts,32.988,before event,Argentina
tactical_shifts,49.61,before event,Argentina
tactical_shifts,49.575,before event,France
tactical_shifts,78.338,before event,France
tactical_shifts,4.52,after event,Argentina
tactical_shifts,84.061,after event,Argentina
tactical_shifts,73.064,before event,France
tactical_shifts,22.046,before event,France
tactical_shifts,4.578,before event,France
tactical_shifts,71.313,before event,France
tactical_shifts,7.415,after event,Argentina
tactical_shifts,5.376,after event,France
tactical_shifts,7.401,after event,Argentina
tactical_shifts,188.97,after event,Argentina
tactical_shifts,7.415,before event,Argentina
